id,track_name,album_name,release_date,artist,genre,explicit,score,airplay_streams,amazon_playlist_count,deezer_playlist_count,itunes_playlist_count,shazam_count,siriusxm_streams,soundcloud_plays,spotify_playlist_count,spotify_playlist_total_reach,spotify_plays,spotify_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,tidal_popularity,tiktok_posts,tiktok_top_videos_likes,tiktok_top_videos_views,youtube_likes,youtube_playlist_count,youtube_views
100495456,LALA,LALA - Single,2023-03-22,['Myke Towers'],['Latin'],True,0.21844185522,107479.0,74.0,36.0,88.0,3190206.0,254.0,1837451.0,130931.0,71105971.0,1155135485.0,77.0,46.0,14150965.0,,15111260.0,690780375.0,10601478350.0,5031170.0,78.0,1190587968.0
143173452,Born Again (feat. Doja Cat & RAYE),Born Again (feat. Doja Cat & RAYE),2025-02-06,"['LISA', 'Doja Cat', 'RAYE']","['Pop', 'K-Pop']",False,0.216651378488,9993.0,107.0,59.0,111.0,164007.0,1.0,15893.0,2755.0,147099630.0,71145286.0,87.0,76.0,79349832.0,,11300.0,920.0,13400.0,2304201.0,64.0,55505879.0
121490756,Houdini,Houdini,2024-05-31,['Eminem'],['Hip-Hop/Rap'],True,0.215232304582,382144.0,57.0,34.0,64.0,3418254.0,105.0,3047746.0,139370.0,67735491.0,578542388.0,76.0,70.0,16052957.0,,33710.0,394800.0,4800000.0,940445.0,,55276935.0
117073296,we can't be friends (wait for your love),eternal sunshine,2024-03-08,['Ariana Grande'],['Pop'],False,0.214359003536,433897.0,97.0,86.0,166.0,3057207.0,80.0,,97880.0,160633893.0,1250019154.0,84.0,119.0,60927402.0,,25572.0,11644.0,119263.0,3839984.0,150.0,347980720.0
141777077,VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],True,0.213447976522,1993.0,31.0,21.0,50.0,403334.0,31.0,1012615.0,18004.0,117667984.0,225551015.0,90.0,24.0,52212142.0,,54400.0,10912445.0,97442082.0,430784.0,47.0,55257698.0
135943204,The Emptiness Machine,The Emptiness Machine,2024-09-05,['Linkin Park'],"['Alternative', 'Rock', 'Alternative Rock']",True,0.21061787434,138758.0,64.0,66.0,78.0,2032450.0,26.0,,79044.0,58514762.0,453065733.0,79.0,54.0,14861178.0,,111000.0,314054.0,2630800.0,3176463.0,58.0,185182059.0
119004674,A Bar Song (Tipsy),A Bar Song (Tipsy),2024-04-12,['Shaboozey'],['Country'],False,0.210008198686,1044792.0,5.0,,120.0,,,597578.0,13229.0,5299112.0,1121979290.0,62.0,2.0,694302.0,,4048.0,364031.0,6508181.0,6.0,,144.0
22955238,Dance Monkey,Dance Monkey,2019-05-10,['Tones And I'],"['Pop', 'Alternative', 'Singer/Songwriter']",False,0.20773240143,605912.0,123.0,589.0,546.0,45666336.0,202.0,38075945.0,419501.0,67353763.0,3219318426.0,70.0,189.0,8268385.0,,10427562.0,599442410.0,9265386694.0,28440159.0,97.0,3510126191.0
143859975,No Glory - Radio Edit,No Glory (Radio Edit),2025-02-19,['ximy_'],"['Hip-Hop/Rap', 'Rock']",False,0.20709460345,,,,,,,,26.0,81501.0,71353021.0,,0.0,0.0,,,,,,,
131488815,Sailor Song,Sailor Song - Single,2024-07-26,['Gigi Perez'],"['Pop', 'Rock']",False,0.205644665025,87479.0,121.0,73.0,136.0,2200060.0,34.0,,85451.0,168247744.0,747087187.0,90.0,77.0,80069733.0,,860966.0,282641812.0,1699508563.0,1333174.0,40.0,104277649.0
